corruption_type,mean,lower,upper,percentile,category,cat_avg_mean,cat_avg_lower,cat_avg_upper
shot_noise_2,0.009752563750483606,0.007805138145679139,0.011520204606420734,22.105263157894736,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
shot_noise_3,0.020971630301152556,0.016829360202968123,0.024727492474225746,36.84210526315789,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
shot_noise_4,0.026377276905924972,0.021147344806327465,0.03142871119652879,49.473684210526315,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
shot_noise_5,0.036206773655024095,0.028356000521360225,0.043202958785831906,69.47368421052632,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
snow_1,0.01568849633790607,0.013413572668023522,0.017578505427588053,29.47368421052631,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
snow_2,0.034568289731707606,0.02950059307616578,0.03912493957066437,65.26315789473685,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
snow_3,0.0382701935904889,0.03290814921771507,0.04313555289765562,76.84210526315789,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
snow_4,0.05149513525365251,0.04439434719061931,0.057543146288377145,83.15789473684211,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
snow_5,0.06877942262492324,0.05981881558148256,0.07687114771280379,90.52631578947368,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
spatter_1,0.006168917920431746,0.0051597220020791834,0.007076157794850478,13.684210526315791,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
spatter_2,0.015008214407354628,0.01255867553204441,0.017163087451163513,28.421052631578945,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
spatter_3,0.024393820947298948,0.02024231568532658,0.028147174784336763,42.10526315789473,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
spatter_4,0.01614081001388176,0.013412658676432997,0.018762836714223893,30.526315789473685,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
spatter_5,0.027891790418257727,0.022881014327802013,0.032274691838851545,54.736842105263165,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
speckle_noise_1,0.0057659647668742075,0.004495720190143383,0.006808188091098341,12.631578947368421,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
speckle_noise_2,0.013020880156720637,0.010253269391427794,0.015485975455564604,25.263157894736842,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
speckle_noise_3,0.017443060111755063,0.013742306140427627,0.02072008070245929,33.68421052631579,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
speckle_noise_4,0.02717564643561567,0.02198879441847998,0.032247131660461364,51.578947368421055,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
speckle_noise_5,0.0381858851478915,0.03023805824674124,0.04501261207708678,74.73684210526315,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
zoom_blur_1,0.02272601986108294,0.01891392670154332,0.026198454110106836,38.94736842105263,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
zoom_blur_2,0.02720180321951434,0.022860118393270144,0.03124974499614079,52.63157894736842,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
zoom_blur_3,0.030904224439121514,0.02604271276091979,0.03512417810463058,57.89473684210527,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
zoom_blur_4,0.03411248080124271,0.028963614966233533,0.03870963099473184,64.21052631578948,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
zoom_blur_5,0.038157403880775556,0.03254799031466655,0.043369628568546086,73.68421052631578,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
