Approach,Model,Corruption Type,Date,Fscore
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 02:04:26.631151,0.8108277868341522
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 02:04:28.967219,0.7439793494636744
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:12:24.914070,0.8232850812029182
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:12:28.195094,0.3942477208931811
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:12:30.522266,0.839534988030166
Salt&Pepper,ResNet50,elastic_3,2024-04-12 02:12:32.839608,0.7682336873378957
Salt&Pepper,ResNet50,fog_3,2024-04-12 02:12:35.189030,0.617423166428402
Salt&Pepper,ResNet50,frost_3,2024-04-12 02:12:37.560723,0.6938499313100369
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 02:12:39.906188,0.8119563349005017
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 02:12:42.260917,0.816516009480232
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 02:12:44.635435,0.8410700753237859
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 02:12:46.991132,0.8335534185134268
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 02:12:49.350512,0.8515246966122815
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 02:12:51.692814,0.725357833024319
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 02:12:54.040230,0.8577976727857365
Salt&Pepper,ResNet50,saturate_3,2024-04-12 02:12:56.389197,0.8331775467001847
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 02:12:58.748569,0.8510052868759559
Salt&Pepper,ResNet50,snow_3,2024-04-12 02:13:01.092291,0.7797731778103991
Salt&Pepper,ResNet50,spatter_3,2024-04-12 02:13:03.430361,0.7695231777141102
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 02:13:05.827688,0.8558878790067371
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 02:13:08.169572,0.7945591128415483
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:21:47.743359,0.8499044855855242
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:21:50.102379,0.4085503771383185
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:21:52.458417,0.8785653592794667
Salt&Pepper,ResNet50,elastic_3,2024-04-12 02:21:54.810258,0.7959210562440759
Salt&Pepper,ResNet50,fog_3,2024-04-12 02:21:57.148090,0.6182273627809751
Salt&Pepper,ResNet50,frost_3,2024-04-12 02:21:59.496637,0.6779879824661449
