strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
DefaultAug,GRU,Case Randomization 2,2024-12-23 21:25:38.664035,318.6880102157593,3,0.8926315789473684,0.3273884654045105,0.9126005361930296,0.8957894736842106,0.904116865869854,1900.0,0.949740932642487,0.9647368421052632,0.9571801566579634,1900.0,0.8793686583990981,0.8210526315789474,0.8492106695699511,1900.0,0.8316100443131462,0.8889473684210526,0.8593233273976087,1900.0,0.8933300428869402,0.8926315789473684,0.8924577548738443,7600.0,0.8933300428869403,0.8926315789473684,0.8924577548738444,7600.0
DefaultAug,GRU,Case Randomization 3,2024-12-23 21:25:40.740554,318.6880102157593,3,0.8926315789473684,0.3273884654045105,0.9126005361930296,0.8957894736842106,0.904116865869854,1900.0,0.949740932642487,0.9647368421052632,0.9571801566579634,1900.0,0.8793686583990981,0.8210526315789474,0.8492106695699511,1900.0,0.8316100443131462,0.8889473684210526,0.8593233273976087,1900.0,0.8933300428869402,0.8926315789473684,0.8924577548738443,7600.0,0.8933300428869403,0.8926315789473684,0.8924577548738444,7600.0
DefaultAug,GRU,Case Randomization 4,2024-12-23 21:25:42.815663,318.6880102157593,3,0.8926315789473684,0.3273884654045105,0.9126005361930296,0.8957894736842106,0.904116865869854,1900.0,0.949740932642487,0.9647368421052632,0.9571801566579634,1900.0,0.8793686583990981,0.8210526315789474,0.8492106695699511,1900.0,0.8316100443131462,0.8889473684210526,0.8593233273976087,1900.0,0.8933300428869402,0.8926315789473684,0.8924577548738443,7600.0,0.8933300428869403,0.8926315789473684,0.8924577548738444,7600.0
DefaultAug,GRU,Case Randomization 5,2024-12-23 21:25:44.891800,318.6880102157593,3,0.8926315789473684,0.3273884654045105,0.9126005361930296,0.8957894736842106,0.904116865869854,1900.0,0.949740932642487,0.9647368421052632,0.9571801566579634,1900.0,0.8793686583990981,0.8210526315789474,0.8492106695699511,1900.0,0.8316100443131462,0.8889473684210526,0.8593233273976087,1900.0,0.8933300428869402,0.8926315789473684,0.8924577548738443,7600.0,0.8933300428869403,0.8926315789473684,0.8924577548738444,7600.0
DefaultAug,GRU,Entity Masking 1,2024-12-23 21:25:46.975312,318.6880102157593,3,0.8798684210526316,0.3581837117671966,0.9050976138828634,0.878421052631579,0.8915598290598291,1900.0,0.9496062992125984,0.9521052631578948,0.9508541392904074,1900.0,0.8554817275747508,0.8131578947368421,0.8337830545062062,1900.0,0.8136919315403423,0.8757894736842106,0.8435994930291508,1900.0,0.8809693930526387,0.8798684210526316,0.8799491289713983,7600.0,0.8809693930526388,0.8798684210526316,0.8799491289713984,7600.0
DefaultAug,GRU,Entity Masking 2,2024-12-23 21:25:49.032129,318.6880102157593,3,0.8796052631578948,0.3590308129787445,0.9110747408619748,0.8789473684210526,0.8947227431020627,1900.0,0.9495798319327732,0.9515789473684212,0.9505783385909568,1900.0,0.8518111964873765,0.8168421052631579,0.8339602364320258,1900.0,0.8108770210681039,0.8710526315789474,0.8398883532098452,1900.0,0.880835697587557,0.8796052631578948,0.8797874178337226,7600.0,0.8808356975875571,0.8796052631578948,0.8797874178337227,7600.0
DefaultAug,GRU,Entity Masking 3,2024-12-23 21:25:51.097633,318.6880102157593,3,0.8772368421052632,0.3711561560630798,0.9010810810810812,0.8773684210526316,0.8890666666666667,1900.0,0.9491794600317628,0.9436842105263158,0.9464238585378728,1900.0,0.8485511208310552,0.8168421052631579,0.8323947438991687,1900.0,0.8144685039370079,0.8710526315789474,0.8418107833163785,1900.0,0.8783200414702267,0.8772368421052632,0.8774240131050217,7600.0,0.8783200414702268,0.8772368421052632,0.8774240131050217,7600.0
DefaultAug,GRU,Entity Masking 4,2024-12-23 21:25:53.166690,318.6880102157593,3,0.8723684210526316,0.3750981986522674,0.8969631236442517,0.8705263157894737,0.8835470085470085,1900.0,0.9524826481580352,0.9389473684210526,0.9456665783196396,1900.0,0.8402399127589967,0.8110526315789474,0.8253883235136583,1900.0,0.805758906783797,0.8689473684210526,0.8361610534312485,1900.0,0.8738611478362701,0.8723684210526316,0.8726907409528887,7600.0,0.8738611478362702,0.8723684210526316,0.8726907409528887,7600.0
DefaultAug,GRU,Entity Masking 5,2024-12-23 21:25:55.234504,318.6880102157593,3,0.8582894736842105,0.4215181171894073,0.8858695652173914,0.8578947368421053,0.8716577540106952,1900.0,0.9478308621636464,0.9084210526315788,0.9277076054823972,1900.0,0.8190526875997871,0.81,0.8145011907912146,1900.0,0.7902912621359224,0.8568421052631578,0.8222222222222222,1900.0,0.8607610942791868,0.8582894736842106,0.8590221931266324,7600.0,0.8607610942791867,0.8582894736842105,0.8590221931266323,7600.0
DefaultAug,GRU,Shuffling 1,2024-12-23 21:25:57.306446,318.6880102157593,3,0.8913157894736842,0.3282318711280823,0.912046908315565,0.9005263157894737,0.90625,1900.0,0.9501557632398754,0.963157894736842,0.9566126502875064,1900.0,0.878324844368987,0.8168421052631579,0.846468502863376,1900.0,0.82767109798129,0.8847368421052632,0.8552531162554058,1900.0,0.8920496534764293,0.8913157894736842,0.8911460673515721,7600.0,0.8920496534764293,0.8913157894736842,0.8911460673515722,7600.0
