Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,contrast_3,2024-04-14 04:24:14.878617,733.6813941001892,0.391981658257022
Baseline,ResNet50,defocus_blur_3,2024-04-14 04:24:17.204953,733.6813941001892,0.7286390090581686
Baseline,ResNet50,elastic_3,2024-04-14 04:24:19.539105,733.6813941001892,0.6581554042539347
Baseline,ResNet50,fog_3,2024-04-14 04:24:21.868650,733.6813941001892,0.575864983471523
Baseline,ResNet50,frost_3,2024-04-14 04:24:24.252649,733.6813941001892,0.5191444626518675
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 04:24:26.580401,733.6813941001892,0.6414568104245019
Baseline,ResNet50,gaussian_blur_3,2024-04-14 04:24:28.907347,733.6813941001892,0.6776952898270823
Baseline,ResNet50,gaussian_noise_3,2024-04-14 04:24:31.245128,733.6813941001892,0.5866383149676212
Baseline,ResNet50,impulse_noise_3,2024-04-14 04:24:33.562785,733.6813941001892,0.5569449984138598
Baseline,ResNet50,jpeg_compression_3,2024-04-14 04:24:35.900657,733.6813941001892,0.7443687257908598
Baseline,ResNet50,motion_blur_3,2024-04-14 04:24:38.226598,733.6813941001892,0.5665165711884761
Baseline,ResNet50,pixelate_3,2024-04-14 04:24:40.556546,733.6813941001892,0.7775617959030556
Baseline,ResNet50,saturate_3,2024-04-14 04:24:42.894777,733.6813941001892,0.7786591185265306
Baseline,ResNet50,shot_noise_3,2024-04-14 04:24:45.217726,733.6813941001892,0.6452547427842488
Baseline,ResNet50,snow_3,2024-04-14 04:24:47.538471,733.6813941001892,0.6316406066909586
Baseline,ResNet50,spatter_3,2024-04-14 04:24:49.866171,733.6813941001892,0.6180651050642785
Baseline,ResNet50,speckle_noise_3,2024-04-14 04:24:52.197564,733.6813941001892,0.6777262300669331
Baseline,ResNet50,zoom_blur_3,2024-04-14 04:24:54.529530,733.6813941001892,0.6527352077636799
Salt&Pepper,ResNet50,brightness_3,2024-04-14 04:36:03.693383,664.2528398036957,0.7188090356624063
Salt&Pepper,ResNet50,contrast_3,2024-04-14 04:36:06.962812,664.2528398036957,0.3251564736269007
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-14 04:36:09.287328,664.2528398036957,0.745673350865874
Salt&Pepper,ResNet50,elastic_3,2024-04-14 04:36:11.671489,664.2528398036957,0.688071471157279
Salt&Pepper,ResNet50,fog_3,2024-04-14 04:36:14.000097,664.2528398036957,0.4927021309254146
Salt&Pepper,ResNet50,frost_3,2024-04-14 04:36:16.332162,664.2528398036957,0.6260735517449585
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-14 04:36:18.669165,664.2528398036957,0.7293619418485109
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-14 04:36:21.001829,664.2528398036957,0.72845453387951
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-14 04:36:23.345639,664.2528398036957,0.757958245595495
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-14 04:36:25.678400,664.2528398036957,0.7556688743996597
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-14 04:36:28.009256,664.2528398036957,0.7592996203892378
Salt&Pepper,ResNet50,motion_blur_3,2024-04-14 04:36:30.339438,664.2528398036957,0.6986868531919923
Salt&Pepper,ResNet50,pixelate_3,2024-04-14 04:36:32.663273,664.2528398036957,0.7618189229122221
Salt&Pepper,ResNet50,saturate_3,2024-04-14 04:36:34.998177,664.2528398036957,0.7540869351354227
Salt&Pepper,ResNet50,shot_noise_3,2024-04-14 04:36:37.407355,664.2528398036957,0.7635485681943585
Salt&Pepper,ResNet50,snow_3,2024-04-14 04:36:39.742029,664.2528398036957,0.6739115444796292
Salt&Pepper,ResNet50,spatter_3,2024-04-14 04:36:42.077129,664.2528398036957,0.7001549833408643
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-14 04:36:44.395489,664.2528398036957,0.7643155773217776
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-14 04:36:46.712133,664.2528398036957,0.701852063867493
Salt&Pepper,ResNet50,brightness_3,2024-04-14 04:47:55.751523,664.324506521225,0.7636123492687086
Salt&Pepper,ResNet50,contrast_3,2024-04-14 04:47:58.078398,664.324506521225,0.3683653927856138
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-14 04:48:00.423386,664.324506521225,0.770346276347334
Salt&Pepper,ResNet50,elastic_3,2024-04-14 04:48:02.735423,664.324506521225,0.7068440188304704
Salt&Pepper,ResNet50,fog_3,2024-04-14 04:48:05.053549,664.324506521225,0.5509690715465466
Salt&Pepper,ResNet50,frost_3,2024-04-14 04:48:07.376465,664.324506521225,0.6712450070123464
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-14 04:48:09.707199,664.324506521225,0.7480645809696753
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-14 04:48:12.013432,664.324506521225,0.7419108262916045
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-14 04:48:14.329062,664.324506521225,0.7861729116683465
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-14 04:48:16.657303,664.324506521225,0.7730313452887614
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-14 04:48:18.985859,664.324506521225,0.7847278413520535
Salt&Pepper,ResNet50,motion_blur_3,2024-04-14 04:48:21.318630,664.324506521225,0.6367535928572938
Salt&Pepper,ResNet50,pixelate_3,2024-04-14 04:48:23.640001,664.324506521225,0.7931843485450669
Salt&Pepper,ResNet50,saturate_3,2024-04-14 04:48:25.955315,664.324506521225,0.772676235839503
Salt&Pepper,ResNet50,shot_noise_3,2024-04-14 04:48:28.281962,664.324506521225,0.7897547925627623
Salt&Pepper,ResNet50,snow_3,2024-04-14 04:48:30.607058,664.324506521225,0.7236845088922934
Salt&Pepper,ResNet50,spatter_3,2024-04-14 04:48:32.928051,664.324506521225,0.7083793828368892
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-14 04:48:35.251180,664.324506521225,0.7936922154609846
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-14 04:48:37.572899,664.324506521225,0.7272604339089817
Salt&Pepper,ResNet50,brightness_3,2024-04-14 05:01:53.645151,791.2858419418335,0.821924382657594
Salt&Pepper,ResNet50,contrast_3,2024-04-14 05:01:56.009946,791.2858419418335,0.3880825353225361
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-14 05:01:58.356883,791.2858419418335,0.8353384630857505
Salt&Pepper,ResNet50,elastic_3,2024-04-14 05:02:00.693699,791.2858419418335,0.7571062338868224
Salt&Pepper,ResNet50,fog_3,2024-04-14 05:02:03.038538,791.2858419418335,0.6040956384875404
Salt&Pepper,ResNet50,frost_3,2024-04-14 05:02:05.388677,791.2858419418335,0.7056361775821943
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-14 05:02:07.733529,791.2858419418335,0.7955357016961488
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-14 05:02:10.099509,791.2858419418335,0.8108685411086796
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-14 05:02:12.463505,791.2858419418335,0.819417562009952
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-14 05:02:14.805914,791.2858419418335,0.8079142468674452
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-14 05:02:17.163001,791.2858419418335,0.8329785784679251
Salt&Pepper,ResNet50,motion_blur_3,2024-04-14 05:02:19.542320,791.2858419418335,0.7100828219989807
Salt&Pepper,ResNet50,pixelate_3,2024-04-14 05:02:21.895709,791.2858419418335,0.8474414672602325
Salt&Pepper,ResNet50,saturate_3,2024-04-14 05:02:24.249179,791.2858419418335,0.8142589288372687
Salt&Pepper,ResNet50,shot_noise_3,2024-04-14 05:02:26.618352,791.2858419418335,0.8282266485692829
Salt&Pepper,ResNet50,snow_3,2024-04-14 05:02:28.998428,791.2858419418335,0.7675506197092445
Salt&Pepper,ResNet50,spatter_3,2024-04-14 05:02:31.376810,791.2858419418335,0.7312993225131221
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-14 05:02:33.732776,791.2858419418335,0.8340245740496828
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-14 05:02:36.083641,791.2858419418335,0.7873557316979615
Salt&Pepper,ResNet50,brightness_3,2024-04-14 05:13:03.762376,622.8472981452942,0.7274035672213239
Salt&Pepper,ResNet50,contrast_3,2024-04-14 05:13:07.042406,622.8472981452942,0.3231107509149861
