Approach,Model,Corruption Type,Date,Training Time,Fscore
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-16 20:56:10.563353,519.7430598735809,0.5555587639649605
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-16 20:56:12.905018,519.7430598735809,0.5533042511191433
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-16 20:56:15.240620,519.7430598735809,0.558860608252387
Salt&Pepper,ResNet50,motion_blur_3,2024-04-16 20:56:17.575889,519.7430598735809,0.513843200252902
Salt&Pepper,ResNet50,pixelate_3,2024-04-16 20:56:19.911240,519.7430598735809,0.5584320272703852
Salt&Pepper,ResNet50,saturate_3,2024-04-16 20:56:22.247862,519.7430598735809,0.551911279032876
Salt&Pepper,ResNet50,shot_noise_3,2024-04-16 20:56:24.589723,519.7430598735809,0.5595792712720163
Salt&Pepper,ResNet50,snow_3,2024-04-16 20:56:26.925371,519.7430598735809,0.523794301594028
Salt&Pepper,ResNet50,spatter_3,2024-04-16 20:56:29.263250,519.7430598735809,0.5338964741723432
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-16 20:56:31.602357,519.7430598735809,0.5548355569552045
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-16 20:56:33.942543,519.7430598735809,0.5255471884676012
Salt&Pepper,ResNet50,in-sample,2024-04-16 21:05:51.213213,552.2488594055176,0.6113182809189904
Salt&Pepper,ResNet50,brightness_3,2024-04-16 21:05:54.096847,552.2488594055176,0.5764754899784812
Salt&Pepper,ResNet50,contrast_3,2024-04-16 21:05:56.471400,552.2488594055176,0.287470897916843
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-16 21:05:58.849708,552.2488594055176,0.6071639146949573
Salt&Pepper,ResNet50,elastic_3,2024-04-16 21:06:01.196349,552.2488594055176,0.5862115182164155
Salt&Pepper,ResNet50,fog_3,2024-04-16 21:06:03.564864,552.2488594055176,0.4228224013694076
Salt&Pepper,ResNet50,frost_3,2024-04-16 21:06:05.902214,552.2488594055176,0.4811913890677052
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-16 21:06:08.238559,552.2488594055176,0.5740235843490842
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-16 21:06:10.580025,552.2488594055176,0.5924707369775707
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-16 21:06:12.910114,552.2488594055176,0.5583400034303067
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-16 21:06:15.247483,552.2488594055176,0.5392363541523059
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-16 21:06:17.591118,552.2488594055176,0.5969510702670271
Salt&Pepper,ResNet50,motion_blur_3,2024-04-16 21:06:19.971286,552.2488594055176,0.5612021587715056
Salt&Pepper,ResNet50,pixelate_3,2024-04-16 21:06:22.342815,552.2488594055176,0.6124454822702358
Salt&Pepper,ResNet50,saturate_3,2024-04-16 21:06:24.682936,552.2488594055176,0.6054512197847932
Salt&Pepper,ResNet50,shot_noise_3,2024-04-16 21:06:27.041550,552.2488594055176,0.570183412945484
Salt&Pepper,ResNet50,snow_3,2024-04-16 21:06:29.388670,552.2488594055176,0.4965800539904941
Salt&Pepper,ResNet50,spatter_3,2024-04-16 21:06:31.723711,552.2488594055176,0.4904742855442804
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-16 21:06:34.061650,552.2488594055176,0.5770547280969304
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-16 21:06:36.401171,552.2488594055176,0.5933950589239668
Salt&Pepper,ResNet50,in-sample,2024-04-16 21:16:10.131960,568.5512025356293,0.6166287768242962
Salt&Pepper,ResNet50,brightness_3,2024-04-16 21:16:13.108490,568.5512025356293,0.5641682304503027
Salt&Pepper,ResNet50,contrast_3,2024-04-16 21:16:15.548370,568.5512025356293,0.2584584272769236
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-16 21:16:17.988553,568.5512025356293,0.5884759024174226
Salt&Pepper,ResNet50,elastic_3,2024-04-16 21:16:20.427276,568.5512025356293,0.5607818171396473
Salt&Pepper,ResNet50,fog_3,2024-04-16 21:16:22.903442,568.5512025356293,0.4240857588059039
Salt&Pepper,ResNet50,frost_3,2024-04-16 21:16:25.347371,568.5512025356293,0.4567760788140004
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-16 21:16:27.788107,568.5512025356293,0.5824889097792234
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-16 21:16:30.230118,568.5512025356293,0.5687870800482182
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-16 21:16:32.725483,568.5512025356293,0.6126729191403566
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-16 21:16:35.168181,568.5512025356293,0.6111711962034272
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-16 21:16:37.601529,568.5512025356293,0.6109692893540075
Salt&Pepper,ResNet50,motion_blur_3,2024-04-16 21:16:40.044603,568.5512025356293,0.537054122719485
Salt&Pepper,ResNet50,pixelate_3,2024-04-16 21:16:42.489139,568.5512025356293,0.6063730407428414
Salt&Pepper,ResNet50,saturate_3,2024-04-16 21:16:44.921239,568.5512025356293,0.6009350387348374
Salt&Pepper,ResNet50,shot_noise_3,2024-04-16 21:16:47.356865,568.5512025356293,0.6158154977011557
Salt&Pepper,ResNet50,snow_3,2024-04-16 21:16:49.789175,568.5512025356293,0.5375186702245573
Salt&Pepper,ResNet50,spatter_3,2024-04-16 21:16:52.227839,568.5512025356293,0.5728891732000734
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-16 21:16:54.671322,568.5512025356293,0.6152414249671498
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-16 21:16:57.093349,568.5512025356293,0.559757469483264
Salt&Pepper,ResNet50,in-sample,2024-04-16 21:24:43.415782,461.1232681274414,0.549796562384723
Salt&Pepper,ResNet50,brightness_3,2024-04-16 21:24:46.393845,461.1232681274414,0.5516476806341523
Salt&Pepper,ResNet50,contrast_3,2024-04-16 21:24:48.848936,461.1232681274414,0.2175410840992841
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-16 21:24:51.300081,461.1232681274414,0.5448905678838527
Salt&Pepper,ResNet50,elastic_3,2024-04-16 21:24:53.756078,461.1232681274414,0.53201911911808
Salt&Pepper,ResNet50,fog_3,2024-04-16 21:24:56.202259,461.1232681274414,0.4101879242301988
