strategy,model,evaluation_set,date_finished,training_time,fold,f1-score(weighted avg),accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),support(weighted avg)
DefaultAug,LSTM,In-Distribution,2024-12-16 22:19:04.368590,3101.0337800979614,1,0.9028170953608178,0.9030263157894736,0.2914359867572784,0.9242093784078516,0.8921052631578947,0.9078735940010711,1900.0,0.945973496432212,0.9768421052631578,0.9611600207146556,1900.0,0.8652631578947368,0.8652631578947368,0.8652631578947368,1900.0,0.8760504201680672,0.8778947368421053,0.8769716088328077,1900.0,0.902874113225717,0.9030263157894738,0.902817095360818,7600.0,0.902874113225717,0.9030263157894736,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-16 23:25:08.668884,3952.282926082611,2,0.9101624698365384,0.9102631578947368,0.2874937653541565,0.9240710823909531,0.9031578947368422,0.9134948096885812,1900.0,0.95800933125972,0.9726315789473684,0.9652650822669104,1900.0,0.8858988159311088,0.8663157894736843,0.8759978712080895,1900.0,0.8732106339468303,0.8989473684210526,0.8858921161825726,1900.0,0.9102974658821532,0.9102631578947368,0.9101624698365384,7600.0,0.9102974658821532,0.9102631578947368,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 00:31:45.163431,3986.007264375687,3,0.9054241164682372,0.9053947368421053,0.297425240278244,0.9176090468497576,0.8968421052631579,0.9071067340963532,1900.0,0.9630411826821542,0.96,0.9615181866104374,1900.0,0.8954974986103391,0.8478947368421053,0.8710462287104623,1900.0,0.8497560975609756,0.916842105263158,0.8820253164556962,1900.0,0.9064759564258066,0.9053947368421054,0.9054241164682372,7600.0,0.9064759564258066,0.9053947368421053,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 01:32:55.546023,3659.9983789920807,4,0.9102180579123704,0.9103947368421051,0.2825096249580383,0.9239482200647248,0.901578947368421,0.9126265316995206,1900.0,0.9601861427094104,0.9773684210526316,0.9687010954616588,1900.0,0.8960176991150443,0.8526315789473684,0.8737864077669903,1900.0,0.8627744510978044,0.91,0.8857581967213114,1900.0,0.910731628246746,0.9103947368421051,0.9102180579123702,7600.0,0.910731628246746,0.9103947368421051,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 02:29:43.073054,3396.812418937683,5,0.9074747898967724,0.9075,0.281676709651947,0.926006528835691,0.8957894736842106,0.9106474050294276,1900.0,0.959332638164755,0.968421052631579,0.9638554216867472,1900.0,0.88689505165851,0.858421052631579,0.8724257822947312,1900.0,0.8598503740648379,0.9073684210526316,0.8829705505761845,1900.0,0.9080211481809484,0.9075,0.9074747898967728,7600.0,0.9080211481809484,0.9075,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 03:28:56.259051,3542.995236158371,6,0.9063819407477688,0.9063157894736842,0.2877106070518493,0.9246203904555316,0.8973684210526316,0.9107905982905984,1900.0,0.9615587151132174,0.9610526315789474,0.9613056067386154,1900.0,0.8898630136986302,0.8547368421052631,0.8719463087248323,1900.0,0.8528543307086615,0.9121052631578948,0.8814852492370296,1900.0,0.90722411249401,0.9063157894736842,0.9063819407477688,7600.0,0.90722411249401,0.9063157894736842,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 04:26:17.383370,3430.435098171234,7,0.9075095250606762,0.9076315789473683,0.2799711525440216,0.9164882226980728,0.9010526315789472,0.9087048832271762,1900.0,0.9599583983359334,0.9715789473684212,0.9657337169761968,1900.0,0.8927392739273927,0.8542105263157894,0.8730500268961806,1900.0,0.8623807132094425,0.9036842105263158,0.8825494731431509,1900.0,0.9078916520427104,0.9076315789473683,0.907509525060676,7600.0,0.9078916520427104,0.9076315789473683,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 05:35:32.374284,4145.008762836456,8,0.9070311871766096,0.9071052631578947,0.2927466034889221,0.9214092140921408,0.8947368421052632,0.9078771695594126,1900.0,0.9583983359334374,0.97,0.9641642688987706,1900.0,0.8952013237727523,0.8542105263157894,0.8742256935092917,1900.0,0.8558692421991084,0.9094736842105264,0.8818576167389639,1900.0,0.9077195289993598,0.9071052631578946,0.9070311871766096,7600.0,0.9077195289993598,0.9071052631578947,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 06:32:17.655541,3395.208399295807,9,0.901480682824171,0.9013157894736842,0.3190776705741882,0.9329639889196676,0.8863157894736842,0.9090418353576248,1900.0,0.9568193786203264,0.9563157894736842,0.9565675177678336,1900.0,0.8927374301675978,0.8410526315789474,0.8661246612466125,1900.0,0.8314339981006648,0.921578947368421,0.8741887169246131,1900.0,0.9034886989520642,0.9013157894736844,0.901480682824171,7600.0,0.9034886989520642,0.9013157894736842,7600.0
DefaultAug,LSTM,In-Distribution,2024-12-17 07:32:38.936377,3610.635485887528,10,0.9075281455616804,0.9075,0.2857167422771454,0.9329301814183616,0.8931578947368422,0.9126109169131488,1900.0,0.960957834461218,0.9715789473684212,0.9662392043967548,1900.0,0.8814655172413793,0.8610526315789474,0.871139510117146,1900.0,0.8572854291417166,0.9042105263157896,0.8801229508196721,1900.0,0.908159740565669,0.9075,0.9075281455616804,7600.0,0.9081597405656688,0.9075,7600.0
